jgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBJ1-1,0.122146495236515,0.102359314553408,0.0197871806831069,0.176731790160977,0.0308648536379949,0.213241563535091,0.671128141790607
TRBJ2-2,0.0762484540154225,0.0655716593285674,0.0106767946868551,0.150853559903311,0.032806394390014,0.213241563535091,0.671128141790607
TRBJ1-4,0.0389709319907775,0.0408283929634674,-0.00185746097268986,-0.0465617106864961,0.199456303172852,0.438801050985887,0.357732340904016
TRBJ2-3,0.112100668857274,0.118562915139893,-0.00646224628261914,-0.0560464524596596,0.202523561993486,0.438801050985887,0.357732340904016
TRBJ2-4,0.0162539999576078,0.0179522958627394,-0.00169829590513163,-0.0993789802491459,0.133866153751614,0.438801050985887,0.357732340904016
TRBJ2-5,0.094263076578217,0.102700915038749,-0.00843783846053175,-0.0857314664775212,0.149434913368364,0.438801050985887,0.357732340904016
TRBJ1-6,0.0398608986704947,0.0357343662082837,0.00412653246221109,0.109282995569307,0.301070019268291,0.559130035783969,0.252487177344498
TRBJ1-2,0.101775272586358,0.112668839675313,-0.010893567088955,-0.101685720979111,0.449898502763541,0.731085066990754,0.136032086824306
TRBJ2-7,0.140960533831838,0.146468136494247,-0.00550760266240988,-0.0383279571716889,0.575073758699698,0.830662095899563,0.0805756064569195
TRBJ1-3,0.0318877420452769,0.0325998462917099,-0.000712104246433025,-0.0220858993435935,0.7699138307558,0.863054696184178,0.0639616799531109
TRBJ2-1,0.138486055595323,0.139310824638082,-0.000824769042758799,-0.00593794621059919,0.796665873400779,0.863054696184178,0.0639616799531109
TRBJ2-6,0.0180820030771119,0.016820561867447,0.00126144120966493,0.0723150797803377,0.747385840921421,0.863054696184178,0.0639616799531109
TRBJ1-5,0.0689638675577838,0.0684219319380927,0.000541935619691125,0.00788929325387375,0.930632650361482,0.930632650361482,0.0312217147265885
